Word,Category,Notes
Kinah,Place,Town in southern Judah (Joshua 15:22)
kings,Concept,"Title for rulers in biblical texts (1 Samuel, 1 Kings, etc.)"
Kishi,Person,Father of Ethan (1 Chronicles 6:44)
Korah,Person,Rebelled against Moses (Numbers 16:1–35)
Laban,Person,Father of Rachel and Leah (Genesis 29)
Ladan,Person,Son of Gershon (1 Chronicles 23:7)
Lahad,Person,Son of Jahath (1 Chronicles 4:2)
Lahai,Place,"Beer-lahai-roi, well near Kadesh (Genesis 16:14)"
Lahmi,Person,Brother of Goliath (1 Chronicles 20:5)
Laish,Place,City conquered by Danites (Judges 18:7)
Lasea,Place,Near Crete; Paul’s ship sailed past it (Acts 27:8)
Lasha,Place,Eastern border of Canaan (Genesis 10:19)
Latin,Concept,Language spoken by Romans; not a person/place in Scripture
learn,Concept,Spiritual or moral understanding (Proverbs 1:5)
Lecah,Place,Town in Judah (1 Chronicles 4:21)
Lehem,Place,Possibly Bethlehem or a town in Judah (1 Chronicles 4:31)
Leper,Concept,Term for someone afflicted with leprosy (Leviticus 13)
Libni,Person,Son of Gershon (Exodus 6:17)
Libya,Place,Region in North Africa mentioned in Acts 2:10
light,Concept,"Symbol of truth, righteousness (Genesis 1:3; John 8:12)"
Likhi,Person,Son of Shemida (1 Chronicles 7:19)
Linus,Person,Christian mentioned by Paul (2 Timothy 4:21)
lions,Item,Frequently mentioned animals (Daniel 6; Judges 14)
lords,Concept,Term for rulers or powerful men (Judges 3:3; 1 Samuel 5:8)
Lotan,Person,Son of Seir the Horite (Genesis 36:20)
Lycia,Place,Region in Asia Minor (Acts 27:5)
Lydda,Place,City where Peter healed Aeneas (Acts 9:32)
Lydia,Person,Merchant who converted under Paul (Acts 16:14)
Maath,Person,Ancestor in Jesus’ genealogy (Luke 3:26)
Madai,Person,Son of Japheth (Genesis 10:2)
Madon,Place,City of Canaan (Joshua 11:1)
Magog,Person,Son of Japheth; used symbolically in Revelation (Genesis 10:2; Revelation 20:8)
Magor,Concept,"From “Magor-missabib,” fear on every side (Jeremiah 20:3)"
Maher,Person,Refers to Maher-shalal-hash-baz (Isaiah 8:1)
Mahli,Person,Son of Merari (Exodus 6:19)
Mahol,Person,Father of wise men (1 Kings 4:31)
Makaz,Place,District in Solomon’s kingdom (1 Kings 4:9)
Maker,Concept,God as Creator (Ecclesiastes 12:1; Isaiah 45:9)
Makir,Person,Son of Manasseh (Genesis 50:23)
Malki,Person,"Part of name “Malki-shua,” son of Saul (1 Samuel 14:49)"
Malta,Place,Island where Paul was shipwrecked (Acts 28:1)
Mamre,Place,Location near Hebron where Abraham dwelled (Genesis 13:18)
Maoch,Person,"Father of Achish, king of Gath (1 Samuel 27:2)"
Marah,Place,Bitter water location in the wilderness (Exodus 15:23)
march,Concept,"Movement of a group, no specific biblical proper noun usage"
marry,Concept,"Biblical action, not a specific item/person/place"
Massa,Person,Son of Ishmael (Genesis 25:14)
Matri,Person,Ancestor of Saul (1 Samuel 10:21)
Maybe,Concept,"Common word, no proper noun reference in Bible"
Medad,Person,One of the elders who prophesied (Numbers 11:26â€“27)
Medan,Person,Son of Abraham through Keturah (Genesis 25:2)
Medes,People,People group allied with the Persians (Daniel 5:28)
Media,Place,Region of the Medes (Esther 1:3)
Mehir,Person,Member of the tribe of Judah (1 Chronicles 4:11)
Melah,Place,Location associated with returning exiles (Ezra 2:59)
Melea,Person,In genealogy of Jesus (Luke 3:31)
Melki,Person,In genealogy of Jesus (Luke 3:24)
Menna,Person,Officer under Solomon (1 Kings 4:14)
Merab,Person,Daughter of Saul (1 Samuel 14:49)
mercy,Concept,"Theological concept, not a proper noun"
Mered,Person,Husband of Pharaohâ€™s daughter (1 Chronicles 4:17â€“18)
Meres,Person,One of the seven princes of Persia (Esther 1:14)
Merib,Place,"Abbreviation of Meribah, place where Israel quarreled (Numbers 20:13)"
Merom,Place,"Waters of Merom, battle site (Joshua 11:5)"
Meron,Place,"Uncertain, possibly variant of Merom"
Meroz,Place,Cursed for not aiding Israel (Judges 5:23)
Mesha,Person,King of Moab (2 Kings 3:4)
Micah,Person,Minor prophet and other individuals (Book of Micah; Judges 17)
Micri,Person,Father of Elyoeni (1 Chronicles 9:8)
Millo,Place,Fortified structure in Jerusalem (2 Samuel 5:9)
Minni,Place,Nation allied with Ararat and Ashkenaz (Jeremiah 51:27)
Mizar,Place,Hill near Mount Hermon (Psalm 42:6)
Molid,Place,Town in the territory of Judah (Joshua 15:59)
money,Concept,"Medium of exchange, not a proper noun"
Moons,Concept,"Celestial body, not a proper name in biblical sense"
Moreh,Place,"Oak of Moreh, near Shechem (Genesis 12:6)"
Moses,Person,Prophet and leader of Israel (Exodusâ€“Deuteronomy)
Mount,Concept,"Used with other names (e.g., Mount Sinai), not itself a name"
mourn,Concept,"Action, not a proper noun"
moved,Concept,"Verb, not a proper noun"
Mozah,Place,City in territory of Benjamin (Joshua 18:26)
Mushi,Person,"Son of Merari, Levite (Exodus 6:19)"
Mysia,Place,Roman province (Acts 16:7)
Nabal,Person,Wealthy man who opposed David (1 Samuel 25)
Nacon,Person,Owner of threshing floor (2 Samuel 6:6)
Nadab,Person,Son of Aaron (Leviticus 10:1); also a king
Naham,Person,Descendant of Caleb (1 Chronicles 4:19)
Nahbi,Person,Spy from Naphtali (Numbers 13:14)
Nahor,Person,Brother of Abraham (Genesis 11:26)
Nahum,Person,Minor prophet (Book of Nahum)
naked,Concept,"Descriptive term, not a proper noun"
Naomi,Person,Mother-in-law of Ruth (Ruth 1:2)
Nebai,Person,One who signed the covenant (Nehemiah 10:19)
Nebat,Person,Father of Jeroboam (1 Kings 11:26)
Negev,Place,Southern desert region of Israel (Genesis 20:1)
Nehum,Person,Returnee with Zerubbabel (Nehemiah 7:7)
Neiel,Place,Border city of Naphtali (Joshua 19:27)
Nekeb,Place,Border city of Judah (Joshua 15:62)
never,Concept,"Adverb, not a proper noun"
Nezib,Place,City in lowlands of Judah (Joshua 15:43)
Niger,Person,Simeon called Niger (Acts 13:1)
night,Concept,"Time period, not a proper noun"
Nisan,Concept,"Name of Jewish month (Nehemiah 2:1), not a place or person"
Nobah,Person,Conquered Kenath and named it Nobah (Numbers 32:42)
noble,Concept,"Descriptor, not a proper noun"
Nodab,Person,Clan defeated by Israel (1 Chronicles 5:19)
Nogah,Person,Son of David (1 Chronicles 3:7)
Nohah,Person,Son of Benjamin (1 Chronicles 8:2)
north,Concept,"Direction, not a proper noun"
Oboth,Place,Israelite encampment (Numbers 21:10)
Ocran,Person,Father of Pagiel (Numbers 1:13)
offer,Concept,"Verb/action, not a name"
Omega,Concept,Title of God in Revelation 1:8
Ophel,Place,Part of Jerusalem (2 Chronicles 27:3)
Ophir,Place,Region known for gold (1 Kings 10:11)
Ophni,Place,Town of Benjamin (Joshua 18:24)
Orion,Concept,Constellation mentioned in Job 9:9
Orpah,Person,Daughter-in-law of Naomi (Ruth 1:4)
Othni,Person,Son of Shemaiah (1 Chronicles 26:7)
Ovens,Concept,"Household item, not a name"
Padon,Person,One who returned from exile (Ezra 2:44)
pains,Concept,"Feeling/state, not a proper noun"
Pairs,Concept,"Plural form of items, not a name"
Palal,Person,One who helped repair Jerusalem wall (Nehemiah 3:25)
Pallu,Person,Son of Reuben (Genesis 46:9)
Palms,Concept,Tree or body part; not a proper noun unless paired
Palti,Person,Spy from Benjamin (Numbers 13:9)
Parah,Place,City in Benjamin (Joshua 18:23)
Paran,Place,Wilderness area near Sinai (Numbers 10:12)
peace,Concept,"Spiritual concept, not a proper noun"
Pekah,Person,King of Israel (2 Kings 15:27)
Pekod,Place,Babylonian region (Ezekiel 23:23)
Peleg,Person,"Son of Eber, days when earth was divided (Genesis 10:25)"
Pelet,Person,Son of Jonathan (1 Chronicles 2:47)
Peres,Person,Son of Judah; also word in Danielâ€™s vision (Genesis 38:29)
Perez,Person,Twin son of Judah and Tamar (Genesis 38:29)
Perga,Place,City visited by Paul (Acts 13:13)
Peter,Person,Apostle of Jesus (Matthewâ€“Acts)
Pilha,Person,Temple servant (Ezra 2:50)
Pinon,Place,City of Edom (Genesis 36:41)
Piram,Person,King of Jarmuth (Joshua 10:3)
plans,Concept,"Ideas or intentions, not a proper noun"
power,Concept,"Abstract quality, not a name"
press,Concept,"General action, not a biblical person/place/item"
pride,Concept,Sinful attitude condemned in Proverbs (Prov. 16:18)
proud,Concept,Descriptor of arrogance in many verses (James 4:6)
psalm,Item,Sacred song or hymn; Book of Psalms
Puite,Person,One of the sons of Judah (1 Chr. 2:52)
Punon,Place,Station in the Israelites’ journey (Num. 33:42)
Purah,Person,Gideon's servant (Judges 7:10)
Purim,Item,Jewish festival from Book of Esther (Esther 9:26)
quail,Item,Bird provided by God in the wilderness (Exod. 16:13)
Queen,Concept,"Title, not a specific name; e.g., Queen of Sheba"
quick,Concept,"General adjective, not a specific noun"
quiet,Concept,Describes demeanor or state of peace
Rabbi,Concept,Title meaning “teacher”; used for Jesus (John 1:38)
Racal,Place,City in Judah where David sent spoil (1 Sam. 30:29)
Rahab,Person,Woman of Jericho who hid spies (Josh. 2:1)
Raham,Person,Son of Bani (1 Chr. 2:44)
raise,Concept,"Verb used in many contexts, not a noun"
Rakem,Person,Son of Hebron (1 Chr. 2:43)
Ramah,Place,Several towns; most notably in Benjamin (1 Sam. 1:1)
range,Concept,"Generic term, not specific to biblical noun usage"
Rapha,Person,Father of a giant (2 Sam. 21:16–22)
Raphu,Person,"Father of Palti, a spy (Num. 13:9)"
reach,Concept,"Action verb, not a biblical noun"
Recab,Person,Father of Jehonadab (2 Kings 10:15)
Recah,Place,Possibly a variant of Rekah; not widely confirmed
Regem,Person,Son of Jahdai (1 Chr. 2:47)
Rehob,Place,Town in territory of Asher (Josh. 19:28)
Rehum,Person,One who opposed rebuilding of Jerusalem (Ezra 4:8)
Rekem,Person,One of the Midianite kings (Num. 31:8)
renew,Concept,Verb; appears in Psalms (Ps. 51:10)
repay,Concept,"Common biblical verb, not a person/place/item"
Resen,Place,City built by Nimrod (Gen. 10:12)
Reuel,Person,Father-in-law of Moses (Exod. 2:18)
Rezin,Person,King of Syria (2 Kings 15:37)
Rezon,Person,Enemy of Solomon; adversary from Damascus (1 Kings 11:23)
Rhesa,Person,Ancestor of Jesus in Luke’s genealogy (Luke 3:27)
Rhoda,Person,Servant girl who answered Peter (Acts 12:13)
Ribai,Person,Father of Ittai (2 Sam. 23:29)
river,Concept,Generic term used across the Bible
Rizia,Person,Son of Ulla (1 Chr. 7:39)
roast,Concept,Cooking method; not a noun in Bible proper nouns
robes,Item,Garments; used in priestly and royal contexts
Rogel,Place,"En-rogel, a well near Jerusalem (2 Sam. 17:17)"
Roman,Concept,Ethnic/national identity; not a proper noun biblically
rouse,Concept,Verb used in poetic or prophetic literature
royal,Concept,"Adjective; describes kingship, not a noun"
Rufus,Person,Christian greeted by Paul (Rom. 16:13)
ruler,Concept,"Title, not a specific name"
Rumah,Place,Town mentioned in 2 Kings 23:36
Sabta,Person,Son of Cush (Gen. 10:7)
Sacar,Person,Son of Obed-edom (1 Chr. 26:4)
Sakia,Concept,Not found in biblical texts; possibly non-biblical
Salem,Place,Kingdom of Melchizedek; possibly early Jerusalem (Gen. 14:18)
Salim,Place,Near Aenon where John baptized (John 3:23)
Sallu,Person,Post-exilic returnee (Ezra 2:45)
Salma,Person,Descendant of Judah (1 Chr. 2:51)
Samos,Place,Island visited by Paul (Acts 20:15)
Sarah,Person,Wife of Abraham (Gen. 17:15)
Sarai,Person,Sarah’s original name (Gen. 17:15)
Sarid,Place,Border town in Zebulun (Josh. 19:10)
Satan,Concept,Spiritual adversary (Job 1; Rev. 12:9)
Sceva,Person,Jewish chief priest (Acts 19:14)
scorn,Concept,Attitude mentioned often (Prov. 19:29)
Sebam,Place,Town of Reubenites (Num. 32:3); likely same as Sibmah
Segub,Person,Son of Hezron (1 Kings 16:34)
seize,Concept,"Verb, not a noun"
Selah,Concept,Musical pause in Psalms; unclear meaning
Seled,Person,Son of Nadah (1 Chr. 2:30)
Seneh,Place,Cliff near Michmash (1 Sam. 14:4)
Senir,Place,Mountain of the Amorites (Deut. 3:9)
Serah,Person,Daughter of Asher (Gen. 46:17)
Sered,Person,Son of Zebulun (Gen. 46:14)
Serug,Person,Ancestor of Abraham (Gen. 11:22)
serve,Concept,Verb appearing frequently in both Old & New Testaments
seven,Concept,"Symbolic number; appears often (e.g., 7 days of creation)"
shake,Concept,Verb used metaphorically in Psalms & Prophets
Shama,Person,One of David’s mighty men (2 Sam. 23:11)
share,Concept,Common biblical verb
Shaul,Person,Son of Simeon (Gen. 46:10); also Saul
shave,Concept,"Action verb; e.g., Nazirites (Num. 6:18)"
Sheal,Person,Returnee in Nehemiah's list (Neh. 12:20)
shear,Concept,Action verb (Isaiah 7:20)
Sheba,Place,Kingdom visited Solomon (1 Kings 10:1)
sheep,Item,Common biblical livestock
Shema,Person,"Multiple men named Shema (e.g., 1 Chr. 2:43)"
Sheth,Person,"Possibly Seth, son of Adam (Num. 24:17)"
Sheva,Person,Scribe in David’s court (2 Sam. 20:25)
Shion,Place,Town in Issachar (Josh. 19:19)
ships,Item,Common transport vessel in OT & NT
Shiza,Person,Father of a mighty man (1 Chr. 11:42)
Shobi,Person,Son of Nahash (2 Sam. 17:27)
shoot,Concept,Verb; also used metaphorically
short,Concept,"Adjective, not used as biblical noun"
shout,Concept,Verb used in praise & battle contexts
Shuah,Person,Multiple individuals; including wife of Judah (Gen. 38:2)
Shual,Place,Region in Israel (1 Sam. 13:17)
Shuni,Person,Son of Gad (Gen. 46:16)
Siaha,Person,Post-exilic returnee (Neh. 7:47)
Sidon,Place,Ancient Phoenician city (Gen. 10:15)
Sihon,Person,King of the Amorites (Num. 21:21)
Silas,Person,"Companion of Paul on missionary journeys (Acts 15:22, 1 Thess. 1:1)"
Silla,Place,A location mentioned in 2 Kings 12:20 where Joash was slain
Simon,Person,"Name of several men, including Simon Peter (Matt. 4:18)"
Sinai,Place,Mountain where Moses received the Law (Exodus 19:20)
since,Concept,"Not a person, place, or item—used as a conjunction"
Sirah,Place,"Well of Sirah, where Abner was buried (2 Sam. 3:26)"
Sivan,Concept,"Hebrew month (Esther 8:9); calendar unit, not a location"
sixty,Concept,Numerical term—not a person/place/item
Siyon,Place,Alternate transliteration of Zion (Psalm 48:2)
Skull,Place,"Golgotha, ""Place of a Skull"" (John 19:17)"
sleep,Concept,Often metaphor for death or rest (John 11:11)
Smite,Concept,"Verb—used in commands or narratives, not a noun"
smoke,Concept,Symbolic image in offerings and visions (Gen. 19:28)
Socoh,Place,Town in Judah's lowlands (1 Sam. 17:1)
Sodom,Place,City destroyed for wickedness (Gen. 19)
songs,Concept,"Spiritual expression, e.g. Psalms; not a place/person"
Sorek,Place,Valley where Delilah lived (Judges 16:4)
Sotai,Person,Descendant of Solomon’s servants (Ezra 2:55)
sound,Concept,Refers to auditory sense or event; not noun-specific biblically
south,Concept,Cardinal direction in biblical geography (Gen. 13:1)
Spain,Place,Mentioned by Paul as destination (Romans 15:24)
spare,Concept,Verb/action; no distinct biblical noun
speak,Concept,Verb describing action in Scripture; not a name/item
spend,Concept,Action or verb—not person/place/item
stand,Concept,"Verb usage, e.g., “stand firm”; not an entity"
stern,Concept,"Used metaphorically, not as a biblical entity"
still,Concept,Adjective/adverb; not a biblical noun
Stoic,Concept,Refers to Greek philosophers (Acts 17:18)
stone,Item,"Used in altars, buildings, and laws (Exodus 24:12)"
straw,Item,Used in making bricks (Exodus 5:7)
strip,Concept,Verb usage; no distinct biblical noun use
Susah,Place,Mentioned in 1 Chron. 7:36 as a city
Susim,Place,Likely a location listed among tribal allotments (1 Chron. 7:36)
swear,Concept,Verb; relates to making oaths (Ex. 20:7)
swing,Concept,Verb; no biblical noun
sword,Item,Weapon used in many narratives (Gen. 27:40)
Syria,Place,Neighboring nation; mentioned frequently (2 Kings 5:1)
Tabor,Place,Mountain in northern Israel (Judges 4:6)
Tahan,Person,Son of Ephraim (Num. 26:35)
Tamar,Person,Two women: Judah’s daughter-in-law (Gen. 38) and Absalom’s sister (2 Sam. 13)
Tarea,Person,"Son of Micah, from genealogies (1 Chron. 8:35)"
taste,Concept,Sense or metaphor for spiritual experience (Psalm 34:8)
teach,Concept,Instructional action; not a noun
Tebah,Person,Son of Nahor (Gen. 22:24)
Tekel,Concept,"Word from “Mene, Mene, Tekel, Upharsin” vision (Daniel 5:27)"
Tekoa,Place,Town of Amos; near Bethlehem (2 Sam. 14:2)
Telah,Person,Descendant of Manasseh (1 Chron. 7:25)
Telem,Place,Town in southern Judah (Joshua 15:24)
Temah,Person,Descendant of servants (Ezra 2:53)
Teman,Place,Region in Edom (Obadiah 1:9)
Terah,Person,Father of Abraham (Genesis 11:26)
thick,Concept,Adjective describing fog/clouds (Exodus 19:9)
think,Concept,Mental action; not a noun
throw,Concept,Verb; not noun or entity
Tibni,Person,Contender for throne of Israel (1 Kings 16:21)
Tidal,Person,King of nations allied with Chedorlaomer (Gen. 14:1)
Tilon,Person,Descendant of Shimon (1 Chron. 4:20)
Timna,Person,Concubine of Eliphaz (Gen. 36:12)
Timon,Person,One of the Seven appointed in Acts 6:5
Tiras,Person,Son of Japheth (Gen. 10:2)
Tiria,Person,Daughter of Shimei (1 Chron. 4:17)
Titus,Person,Companion of Paul (Titus 1:4)
today,Concept,"Temporal reference, not a noun"
Token,Item,Memorial or sign (Exodus 12:13)
Tolad,Place,Town in Simeon's inheritance (Joshua 19:4)
touch,Concept,Action or metaphor; not an item/person/place
tower,Item,Physical structure for defense (Judges 9:46)
train,Concept,"Action, e.g., “Train up a child” (Prov. 22:6)"
Trans,Concept,Prefix—not a biblical term
treat,Concept,Verb; not noun or entity
trees,Item,Often symbolic and literal (Genesis 2:9)
Troas,Place,City visited by Paul (Acts 16:8)
truly,Concept,Adverb—not an item/place/person
trust,Concept,"Spiritual posture, e.g., “Trust in the Lord” (Prov. 3:5)"
truth,Concept,Theological theme in John 14:6
Tubal,Person,Son of Japheth (Gen. 10:2); also Tubal-Cain
Ummah,Place,Town in tribal listings (Joshua 19:30)
Union,Concept,Not a biblical term in this usage
untie,Concept,Verb/action
Uphaz,Place,Region where gold is found (Jeremiah 10:9)
upper,Concept,"Adjective, used for locations (e.g., Upper Room)"
Uriah,Person,Husband of Bathsheba (2 Sam. 11:3)
Uriel,Person,Father of Michaiah (2 Chron. 13:2)
using,Concept,Verb
Uthai,Person,Listed in genealogies (1 Chron. 9:4)
Uzzah,Person,Touched the ark and died (2 Sam. 6:6–7)
Uzzen,Place,Town mentioned in 1 Chronicles 6:68 (Uzzen-sheerah)
Uzzia,Person,"Also spelled Uzziah, king of Judah (2 Chron. 26:1)"
Waheb,Place,Place in Moab (Num. 21:14)
walls,Item,Physical structures of cities (Nehemiah 3:8)
watch,Concept,Often refers to guard duty or time periods
water,Item,Literal and symbolic (John 4:14)
waves,Concept,Often symbolic (Psalm 42:7)
Weave,Concept,Verb/action; not item-specific
weeks,Concept,Time unit (Daniel 9:24)
weigh,Concept,Verb/action
Weren,Person,"Possibly variant of Jaresiah (no direct biblical reference found, default to Person per naming pattern)"
wheel,Item,Used metaphorically in Ezekiel's vision (Ezekiel 1:15)
whose,Concept,Pronoun—not a biblical noun
wives,Person,Plural noun referring to women married (Genesis 4:19)
woman,Person,Generic reference to adult female; used widely throughout scripture (Gen. 2:22; John 4:9)
women,Person,"Plural of ""woman""; refers to adult females in biblical context (Ex. 1:19, Luke 8:2)"
wrath,Concept,Refers to divine or human anger (Romans 1:18)
write,Concept,Verb/action; refers to recording God's laws or letters (Exodus 34:27)
Yaudi,Person,Son of Nethaniah (Jeremiah 36:14)
young,Concept,"Descriptive adjective (young men, young lions); not a specific noun (1 John 2:14)"
yours,Concept,Possessive pronoun—not a noun
Zabad,Person,"Multiple men named Zabad, including a warrior of David (1 Chron. 2:36)"
Zabdi,Person,"Name of several men, including father of Carmi (Joshua 7:1)"
Zabud,Person,Priest and friend of Solomon (1 Kings 4:5)
Zadok,Person,High priest during David and Solomon’s reigns (2 Samuel 8:17)
Zahab,Person,Mentioned in 1 Chronicles 4:24 as a descendant of Simeon
Zaham,Person,Son of Rehoboam (2 Chron. 11:19)
Zahar,Person,No direct appearance in most translations; possibly a variant or minor genealogy (default: Person)
Zattu,Person,Head of a family returning from exile (Ezra 2:8)
Zebah,Person,Midianite king defeated by Gideon (Judges 8:5)
Zebub,Person,"Part of name “Baal-Zebub,” Philistine god of Ekron (2 Kings 1:2)"
Zebul,Person,Officer in Shechem; supporter of Abimelek (Judges 9:28)
Zedad,Place,Boundary point of Israel (Numbers 34:8)
Zedek,Person,"Shortened form of Melchizedek or Adonizedek; appears in names meaning ""righteousness"" (Gen. 14:18)"
Zeker,Person,"Son of Meshelemiah, gatekeeper (1 Chron. 26:2)"
Zelah,Place,Burial place of Saul and Jonathan (2 Sam. 21:14)
Zelek,Person,"Zelek the Ammonite, one of David’s mighty men (2 Sam. 23:37)"
Zenan,Place,Town in the lowlands of Judah (Joshua 15:37)
Zenas,Person,Christian lawyer mentioned in Titus 3:13
Zepho,Person,"Son of Eliphaz, grandson of Esau (Gen. 36:11)"
Zerah,Person,Twin son of Judah and Tamar (Gen. 38:30)
Zered,Place,Brook near the border of Moab (Deut. 2:13)
Zeror,Person,Father of Abiel (1 Sam. 9:1)
Zibia,Person,Mother of King Joash of Judah (2 Chron. 24:1)
Zicri,Person,"Several men with this name, including a valiant man of Ephraim (2 Chron. 28:7)"
Zimri,Person,King of Israel for seven days (1 Kings 16:9–20); also a prince slain for sin (Num. 25:14)
Zobah,Place,"Kingdom north of Israel, often at war with David (2 Sam. 10:6)"
Zohar,Person,Father of Ephron the Hittite (Gen. 23:8)
Zorah,Place,Birthplace of Samson in Danite territory (Judges 13:2)
